date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Liverpool,E08000012,403028,90049,34955,46141,17624,80909,124150,9200,30.80%,20.08%,11.45%,8.67%,22.34%
2021,St. Helens,E08000013,150571,32245,15613,22079,9728,26153,40903,3850,27.17%,17.37%,14.66%,10.37%,21.42%
2021,Sefton,E08000014,232392,45890,23885,32729,13808,40580,69495,6005,29.90%,17.46%,14.08%,10.28%,19.75%
2021,Wirral,E08000015,262112,46894,25282,38576,15663,46887,82451,6359,31.46%,17.89%,14.72%,9.65%,17.89%
2021,Barnsley,E08000016,199790,50329,21589,28977,13193,33652,46798,5252,23.42%,16.84%,14.50%,10.81%,25.19%
2021,Doncaster,E08000017,250928,61805,28721,37907,16765,41594,56931,7205,22.69%,16.58%,15.11%,11.45%,24.63%
2021,Rotherham,E08000018,215573,50529,24545,33613,14398,36879,49807,5802,23.10%,17.11%,15.59%,11.39%,23.44%
2021,Sheffield,E08000019,456250,88425,41454,53589,24865,84712,152194,11011,33.36%,18.57%,11.75%,9.09%,19.38%
2021,Newcastle upon Tyne,E08000021,248450,46232,19729,25891,11943,52768,86063,5824,34.64%,21.24%,10.42%,7.94%,18.61%
2021,North Tyneside,E08000022,171512,29968,16025,24300,11773,28969,56375,4102,32.87%,16.89%,14.17%,9.34%,17.47%
2021,South Tyneside,E08000023,121292,24849,12323,17393,9706,22265,31707,3049,26.14%,18.36%,14.34%,10.16%,20.49%
2021,Sunderland,E08000024,226071,51666,24530,33553,16312,38679,55532,5799,24.56%,17.11%,14.84%,10.85%,22.85%
2021,Birmingham,E08000025,889623,212198,90079,111212,32425,152046,265806,25857,29.88%,17.09%,12.50%,10.13%,23.85%
2021,Coventry,E08000026,276873,53671,27542,34920,14284,52525,84691,9240,30.59%,18.97%,12.61%,9.95%,19.38%
2021,Dudley,E08000027,262488,60569,28475,39480,15703,45064,65589,7608,24.99%,17.17%,15.04%,10.85%,23.07%
2021,Sandwell,E08000028,266028,76839,30586,36175,12758,39465,60316,9889,22.67%,14.83%,13.60%,11.50%,28.88%
2021,Solihull,E08000029,174503,30642,16623,24691,8069,28266,61847,4365,35.44%,16.20%,14.15%,9.53%,17.56%
2021,Walsall,E08000030,223100,58781,25619,31738,11823,35038,52903,7198,23.71%,15.71%,14.23%,11.48%,26.35%
